entry_time,exit_time,direction,pnl_abs,win
2020-04-20 08:00:00,2020-04-20 12:00:00,L,5348.981286306198,True
2020-04-21 04:00:00,2020-04-21 08:00:00,L,-2182.3843648129287,False
2020-04-21 12:00:00,2020-04-21 20:00:00,L,5349.453713154106,True
2020-04-23 04:00:00,2020-04-23 08:00:00,L,5519.302298999146,True
2020-04-24 04:00:00,2020-04-24 12:00:00,L,2302.100896014129,True
2020-04-24 16:00:00,2020-04-26 20:00:00,L,5122.618224625596,True
2020-04-27 12:00:00,2020-04-27 16:00:00,L,-2311.2730909567695,False
2020-04-28 00:00:00,2020-04-28 04:00:00,L,-2292.7829062291153,False
2020-04-30 20:00:00,2020-05-01 04:00:00,L,420.06873010575794,True
2020-05-01 08:00:00,2020-05-01 12:00:00,L,5694.5029820503205,True
2020-05-05 04:00:00,2020-05-05 12:00:00,L,-1685.443534235687,False
2020-05-06 16:00:00,2020-05-07 00:00:00,L,4266.462865726942,True
2020-05-11 00:00:00,2020-05-11 08:00:00,L,249.3059932469114,True
2020-05-11 16:00:00,2020-05-12 00:00:00,L,401.57177938128456,True
2020-05-12 20:00:00,2020-05-13 04:00:00,L,891.4358909931203,True
2020-05-13 08:00:00,2020-05-13 12:00:00,L,5890.8597015935775,True
2020-05-18 16:00:00,2020-05-19 00:00:00,L,116.13778814157652,True
2020-05-21 04:00:00,2020-05-21 08:00:00,L,-2404.399860555312,False
2020-05-26 16:00:00,2020-05-27 00:00:00,L,-630.7957434160596,False
2020-06-02 08:00:00,2020-06-02 12:00:00,L,-2380.1182957235415,False
2020-06-02 16:00:00,2020-06-02 20:00:00,L,-2361.077349357753,False
2020-06-09 08:00:00,2020-06-09 12:00:00,L,5855.471826407228,True
2020-06-11 20:00:00,2020-06-12 00:00:00,L,-2389.032505174149,False
2020-06-12 20:00:00,2020-06-15 00:00:00,L,559.3398791454817,True
2020-06-15 08:00:00,2020-06-15 12:00:00,L,-2374.3949641659196,False
2020-06-17 04:00:00,2020-06-17 08:00:00,L,-2355.399804452592,False
2020-06-18 12:00:00,2020-06-18 20:00:00,L,1418.7372048023267,True
2020-06-22 08:00:00,2020-06-22 12:00:00,L,5869.766259138474,True
2020-06-23 08:00:00,2020-06-23 16:00:00,L,6381.395927529843,True
2020-06-24 16:00:00,2020-06-24 20:00:00,L,-2445.9158011487366,False
2020-06-25 12:00:00,2020-06-25 20:00:00,L,2956.3756532018533,True
2020-06-26 04:00:00,2020-06-26 12:00:00,L,293.22893070319736,True
2020-06-29 08:00:00,2020-06-29 16:00:00,L,1563.971531731621,True
2020-06-30 12:00:00,2020-06-30 16:00:00,L,6162.142709161599,True
2020-07-01 16:00:00,2020-07-02 00:00:00,L,1001.4871308923373,True
2020-07-06 04:00:00,2020-07-06 08:00:00,L,6305.415305962678,True
2020-07-07 08:00:00,2020-07-07 12:00:00,L,-2572.6094448327726,False
2020-07-09 12:00:00,2020-07-09 16:00:00,L,-2552.0285692741104,False
2020-07-12 20:00:00,2020-07-13 04:00:00,L,6155.346534369258,True
2020-07-14 00:00:00,2020-07-14 04:00:00,L,-2580.8551129948714,False
2020-07-15 08:00:00,2020-07-15 12:00:00,L,-2560.208272090913,False
2020-07-16 04:00:00,2020-07-16 08:00:00,L,-2539.7266059141853,False
2020-07-16 20:00:00,2020-07-17 04:00:00,L,1673.8340184757826,True
2020-07-20 04:00:00,2020-07-20 08:00:00,L,6331.998663036695,True
2020-07-27 20:00:00,2020-07-28 00:00:00,L,6458.638636297429,True
2020-07-28 08:00:00,2020-07-28 12:00:00,L,6587.811409023378,True
2020-07-29 04:00:00,2020-07-29 12:00:00,L,2166.173004082993,True
2020-08-03 04:00:00,2020-08-03 08:00:00,L,-2705.1564389142018,False
2020-08-05 20:00:00,2020-08-06 04:00:00,L,2567.8525779386896,True
2020-08-07 12:00:00,2020-08-07 16:00:00,L,-2704.058008026398,False
2020-08-10 20:00:00,2020-08-11 00:00:00,L,-2682.4255439621866,False
2020-08-14 04:00:00,2020-08-14 12:00:00,L,-112.86013292844333,False
2020-08-14 16:00:00,2020-08-16 20:00:00,L,1920.8056083802967,True
2020-08-19 04:00:00,2020-08-19 08:00:00,L,-2675.429703414104,False
